#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 3374583552; Victor Antonio Garcia Sanchez; 31; 18; 25/05/2020; 25/05/2038; 14; 1(A); A1; Alto; 1 Hora(s); Homicidio
PPL 685; 5182442558; Mario Antonio Torres Reyes; 50; 33; 16/03/1994; 16/03/2027; 3; 5(E); E65; Bajo; 4 Hora(s); Amenazas
PPL 686; 8700527105; Roberto Angel Gonzales Rivera; 55; 37; 13/06/1991; 13/06/2028; 4; 5(E); E66; Bajo; 4 Hora(s); Invasion
PPL 687; 1912048189; Pedro Cesar Cevallos Gomez; 54; 37; 19/06/1990; 19/06/2027; 3; 5(E); E67; Bajo; 4 Hora(s); Otros
PPL 688; 6157886483; Roberto Paulo Paredes Morales; 26; 8; 11/06/2017; 11/06/2025; 1; 5(E); E68; Bajo; 4 Hora(s); Invasion
PPL 689; 9801942070; Roberto Diego Cuenca Rivera; 47; 26; 26/01/2004; 26/01/2030; 6; 5(E); E69; Bajo; 4 Hora(s); Otros
PPL 690; 1489339407; Carlos Sergio Perero Gomez; 37; 23; 22/04/2007; 22/04/2030; 6; 5(E); E70; Bajo; 4 Hora(s); Otros
PPL 691; 8548823476; Gonzalo Sergio Paredes Roman; 63; 49; 08/09/1980; 08/09/2029; 5; 5(E); E71; Bajo; 4 Hora(s); Invasion
PPL 692; 5262668377; Victor Antonio Romero Sanchez; 50; 31; 19/07/1995; 19/07/2026; 2; 5(E); E72; Bajo; 4 Hora(s); Amenazas
PPL 693; 7892716560; Roberto Pablo Cuenca Gomez; 60; 43; 19/08/1984; 19/08/2027; 3; 5(E); E73; Bajo; 4 Hora(s); Estafa
PPL 694; 6427551265; Dario Julian Gonzales Rivera; 23; 25; 11/03/2021; 11/03/2046; 22; 5(E); E74; Bajo; 4 Hora(s); Estafa
PPL 695; 6934136240; Pedro Julian Cevallos Morales; 49; 31; 03/07/1996; 03/07/2027; 3; 5(E); E75; Bajo; 4 Hora(s); Invasion
PPL 696; 1106546656; Carlos Diego Perero Ramirez; 36; 19; 31/07/2007; 31/07/2026; 2; 5(E); E76; Bajo; 4 Hora(s); Invasion
PPL 697; 8469360335; Gonzalo Pablo Paredes Rivera; 63; 46; 14/04/1980; 14/04/2026; 2; 5(E); E77; Bajo; 4 Hora(s); Invasion
PPL 698; 1225759849; Mario Diego Guerrero Roman; 27; 28; 01/06/2019; 01/06/2047; 23; 5(E); E78; Bajo; 4 Hora(s); Amenazas
PPL 699; 8908498881; Gonzalo Paulo Guerrero Rivera; 32; 19; 28/12/2018; 28/12/2037; 13; 5(E); E79; Bajo; 4 Hora(s); Invasion
PPL 700; 3211637854; Victor Paulo Torres Sanchez; 39; 26; 23/11/2004; 23/11/2030; 6; 5(E); E80; Bajo; 4 Hora(s); Invasion
PPL 701; 2046415944; Roberto Cesar Cevallos Hidalgo; 40; 16; 05/09/2019; 05/09/2035; 11; 5(E); E81; Bajo; 4 Hora(s); Amenazas
PPL 702; 3563210615; Dario Sergio Cevallos Rivera; 59; 42; 07/10/1984; 07/10/2026; 2; 5(E); E82; Bajo; 4 Hora(s); Invasion
PPL 703; 6526438331; Pedro Pablo Torres Espinosa; 43; 28; 31/07/2000; 31/07/2028; 4; 5(E); E83; Bajo; 4 Hora(s); Otros
PPL 704; 4939933168; Michael Cesar Romero Roman; 47; 30; 31/09/1997; 31/09/2027; 3; 5(E); E84; Bajo; 4 Hora(s); Estafa
PPL 705; 6332322859; Gonzalo Paulo Guerrero Espinosa; 45; 30; 01/05/2000; 01/05/2030; 6; 5(E); E85; Bajo; 4 Hora(s); Otros
PPL 706; 4985089675; Dario Antonio Gonzales Ramirez; 49; 32; 08/02/1994; 08/02/2026; 2; 5(E); E86; Bajo; 4 Hora(s); Invasion
PPL 707; 3663982248; Carlos Diego Gonzales Ramirez; 64; 46; 12/08/1982; 12/08/2028; 4; 5(E); E87; Bajo; 4 Hora(s); Estafa
PPL 708; 2207943645; Roberto Cesar Torres Ramirez; 56; 39; 14/04/1987; 14/04/2026; 2; 5(E); E88; Bajo; 4 Hora(s); Invasion
PPL 709; 6818460036; Michael Paulo Guerrero Rivera; 62; 47; 06/12/1982; 06/12/2029; 5; 5(E); E89; Bajo; 4 Hora(s); Invasion
PPL 710; 7782850252; Roberto Julian Guerrero Sanchez; 48; 23; 27/07/2017; 27/07/2040; 16; 5(E); E90; Bajo; 4 Hora(s); Estafa
PPL 711; 9692059142; Roberto Pablo Garcia Sanchez; 56; 43; 25/12/1987; 25/12/2030; 6; 5(E); E1; Bajo; 4 Hora(s); Invasion
PPL 712; 9193363758; Roberto Adrian Garcia Roman; 28; 5; 03/04/2021; 03/04/2026; 2; 5(E); E2; Bajo; 4 Hora(s); Amenazas
PPL 713; 8264525708; Pedro Diego Perero Hidalgo; 46; 28; 26/09/1998; 26/09/2026; 2; 5(E); E3; Bajo; 4 Hora(s); Invasion
PPL 714; 7498423236; Roberto Paulo Garcia Morales; 58; 41; 31/08/1987; 31/08/2028; 4; 5(E); E4; Bajo; 4 Hora(s); Estafa
PPL 715; 5110628481; Fabian Antonio Garcia Reyes; 49; 13; 23/08/2018; 23/08/2031; 7; 5(E); E5; Bajo; 4 Hora(s); Estafa
PPL 716; 4899571990; Carlos Cesar Gonzales Reyes; 49; 22; 04/03/2006; 04/03/2028; 4; 5(E); E6; Bajo; 4 Hora(s); Estafa
PPL 717; 9869428140; Pedro Julian Cuenca Reyes; 40; 26; 23/01/2003; 23/01/2029; 5; 5(E); E7; Bajo; 4 Hora(s); Estafa
PPL 718; 9216558439; Gonzalo Cesar Paredes Espinosa; 27; 24; 07/05/2020; 07/05/2044; 20; 5(E); E8; Bajo; 4 Hora(s); Invasion
PPL 719; 8413843535; Pedro Angel Torres Hidalgo; 49; 27; 23/12/2002; 23/12/2029; 5; 5(E); E9; Bajo; 4 Hora(s); Otros
PPL 720; 7992229355; Victor Antonio Gonzales Roman; 42; 28; 07/07/2001; 07/07/2029; 5; 5(E); E10; Bajo; 4 Hora(s); Estafa
PPL 721; 7499742990; Roberto Antonio Guerrero Ramirez; 39; 15; 29/04/2014; 29/04/2029; 5; 5(E); E11; Bajo; 4 Hora(s); Invasion
PPL 722; 5880980683; Roberto Diego Torres Roman; 46; 30; 05/12/1999; 05/12/2029; 5; 5(E); E12; Bajo; 4 Hora(s); Amenazas
PPL 723; 6299015886; Roberto Julian Cuenca Reyes; 43; 12; 23/10/2014; 23/10/2026; 2; 5(E); E13; Bajo; 4 Hora(s); Amenazas
PPL 724; 2036239515; Gonzalo Diego Cevallos Morales; 26; 23; 11/01/2021; 11/01/2044; 20; 5(E); E14; Bajo; 4 Hora(s); Invasion
PPL 725; 2456997693; Michael Cesar Cevallos Roman; 25; 26; 10/02/2018; 10/02/2044; 20; 5(E); E15; Bajo; 4 Hora(s); Estafa
PPL 726; 2295975243; Gonzalo Angel Perero Gomez; 60; 44; 31/06/1983; 31/06/2027; 3; 5(E); E16; Bajo; 4 Hora(s); Estafa
PPL 727; 7142342381; Carlos Sergio Garcia Ramirez; 65; 50; 31/10/1980; 31/10/2030; 6; 5(E); E17; Bajo; 4 Hora(s); Amenazas
PPL 728; 3153545775; Michael Sergio Paredes Sanchez; 32; 30; 16/12/2021; 16/12/2051; 27; 5(E); E18; Bajo; 4 Hora(s); Otros
PPL 729; 7525993467; Roberto Antonio Torres Espinosa; 32; 15; 30/03/2014; 30/03/2029; 5; 5(E); E19; Bajo; 4 Hora(s); Otros
PPL 730; 8543169379; Pedro Sergio Cuenca Ramirez; 43; 28; 26/03/2002; 26/03/2030; 6; 5(E); E20; Bajo; 4 Hora(s); Amenazas
PPL 731; 2374346083; Roberto Antonio Paredes Morales; 60; 44; 05/04/1983; 05/04/2027; 3; 5(E); E21; Bajo; 4 Hora(s); Amenazas
PPL 732; 5745184566; Michael Diego Cevallos Morales; 63; 46; 31/01/1980; 31/01/2026; 2; 5(E); E22; Bajo; 4 Hora(s); Amenazas
PPL 733; 7260119884; Mario Antonio Paredes Reyes; 39; 10; 12/08/2019; 12/08/2029; 5; 5(E); E23; Bajo; 4 Hora(s); Invasion
PPL 734; 9887439825; Michael Paulo Paredes Sanchez; 49; 34; 13/08/1994; 13/08/2028; 4; 5(E); E24; Bajo; 4 Hora(s); Invasion
PPL 735; 1073838026; Pedro Sergio Romero Espinosa; 62; 47; 07/10/1981; 07/10/2028; 4; 5(E); E25; Bajo; 4 Hora(s); Otros
PPL 736; 3691265249; Mario Sergio Paredes Espinosa; 30; 27; 04/07/2021; 04/07/2048; 24; 5(E); E26; Bajo; 4 Hora(s); Invasion
PPL 737; 2905978082; Roberto Antonio Garcia Reyes; 45; 20; 15/10/2009; 15/10/2029; 5; 5(E); E27; Bajo; 4 Hora(s); Estafa
PPL 738; 3591778849; Pedro Pablo Garcia Ramirez; 49; 22; 08/11/2010; 08/11/2032; 8; 5(E); E28; Bajo; 4 Hora(s); Invasion
PPL 739; 8010276613; Carlos Antonio Garcia Ramirez; 31; 15; 20/06/2013; 20/06/2028; 4; 5(E); E29; Bajo; 4 Hora(s); Estafa
PPL 740; 7381650798; Victor Antonio Gonzales Ramirez; 24; 5; 16/02/2021; 16/02/2026; 2; 5(E); E30; Bajo; 4 Hora(s); Estafa
PPL 741; 4312170965; Victor Antonio Perero Hidalgo; 24; 7; 14/10/2019; 14/10/2026; 2; 5(E); E31; Bajo; 4 Hora(s); Amenazas
PPL 742; 6096692777; Victor Angel Torres Espinosa; 62; 43; 28/06/1983; 28/06/2026; 2; 5(E); E32; Bajo; 4 Hora(s); Amenazas
PPL 743; 6834515086; Pedro Antonio Garcia Morales; 23; 25; 25/02/2020; 25/02/2045; 21; 5(E); E33; Bajo; 4 Hora(s); Otros
PPL 744; 6210154249; Dario Diego Gonzales Sanchez; 50; 15; 19/07/2013; 19/07/2028; 4; 5(E); E34; Bajo; 4 Hora(s); Amenazas
PPL 745; 4621454275; Gonzalo Angel Cuenca Hidalgo; 50; 31; 06/03/1995; 06/03/2026; 2; 5(E); E35; Bajo; 4 Hora(s); Invasion
PPL 746; 8357441358; Victor Antonio Gonzales Ramirez; 56; 39; 06/03/1987; 06/03/2026; 2; 5(E); E36; Bajo; 4 Hora(s); Invasion
PPL 747; 3358751076; Roberto Julian Paredes Reyes; 47; 29; 18/09/1996; 18/09/2025; 1; 5(E); E37; Bajo; 4 Hora(s); Estafa
PPL 748; 86235100208; Roberto Adrian Perero Sanchez; 64; 46; 24/01/1981; 24/01/2027; 3; 5(E); E38; Bajo; 4 Hora(s); Otros
PPL 749; 2820030114; Pedro Julian Paredes Reyes; 48; 34; 20/11/1996; 20/11/2030; 6; 5(E); E39; Bajo; 4 Hora(s); Amenazas
PPL 750; 3544136922; Michael Antonio Paredes Morales; 48; 6; 28/10/2023; 28/10/2029; 5; 5(E); E40; Bajo; 4 Hora(s); Amenazas
PPL 751; 5914451299; Roberto Adrian Romero Reyes; 64; 46; 18/02/1980; 18/02/2026; 2; 5(E); E41; Bajo; 4 Hora(s); Invasion
PPL 752; 5744161868; Mario Diego Garcia Roman; 34; 23; 29/05/2023; 29/05/2046; 22; 5(E); E42; Bajo; 4 Hora(s); Estafa
PPL 753; 6322191107; Fabian Antonio Cevallos Sanchez; 50; 34; 19/02/1993; 19/02/2027; 3; 5(E); E43; Bajo; 4 Hora(s); Estafa
PPL 754; 6330595318; Michael Pablo Paredes Espinosa; 49; 22; 11/04/2008; 11/04/2030; 6; 5(E); E44; Bajo; 4 Hora(s); Invasion
PPL 755; 2236361958; Dario Angel Paredes Roman; 45; 31; 21/06/1999; 21/06/2030; 6; 5(E); E45; Bajo; 4 Hora(s); Invasion
PPL 756; 4169667900; Carlos Angel Guerrero Reyes; 44; 8; 02/01/2018; 02/01/2026; 2; 5(E); E46; Bajo; 4 Hora(s); Invasion
PPL 757; 2082213191; Carlos Pablo Paredes Gomez; 37; 23; 20/05/2006; 20/05/2029; 5; 5(E); E47; Bajo; 4 Hora(s); Amenazas
PPL 758; 3270373973; Mario Cesar Romero Ramirez; 43; 13; 17/07/2016; 17/07/2029; 5; 5(E); E48; Bajo; 4 Hora(s); Invasion
PPL 759; 3579322981; Roberto Paulo Cevallos Hidalgo; 43; 16; 11/06/2011; 11/06/2027; 3; 5(E); E49; Bajo; 4 Hora(s); Amenazas
PPL 760; 5504243568; Gonzalo Antonio Guerrero Rivera; 63; 48; 31/06/1982; 31/06/2030; 6; 5(E); E50; Bajo; 4 Hora(s); Amenazas
PPL 761; 4108420559; Gonzalo Adrian Cevallos Espinosa; 59; 42; 24/02/1984; 24/02/2026; 2; 5(E); E51; Bajo; 4 Hora(s); Otros
PPL 762; 1264084619; Gonzalo Sergio Romero Sanchez; 37; 25; 12/07/2010; 12/07/2035; 11; 5(E); E52; Bajo; 4 Hora(s); Estafa
PPL 763; 3776160487; Victor Adrian Gonzales Hidalgo; 47; 9; 14/10/2020; 14/10/2029; 5; 5(E); E53; Bajo; 4 Hora(s); Otros
PPL 764; 1641536409; Victor Pablo Torres Sanchez; 63; 44; 24/08/1982; 24/08/2026; 2; 5(E); E54; Bajo; 4 Hora(s); Estafa
PPL 765; 8191653862; Gonzalo Julian Gonzales Sanchez; 41; 16; 31/04/2019; 31/04/2035; 11; 5(E); E55; Bajo; 4 Hora(s); Amenazas
PPL 766; 10000168932; Michael Diego Gonzales Sanchez; 41; 25; 14/08/2002; 14/08/2027; 3; 5(E); E56; Bajo; 4 Hora(s); Amenazas
PPL 767; 9541551359; Mario Adrian Gonzales Sanchez; 42; 24; 14/02/2012; 14/02/2036; 12; 5(E); E57; Bajo; 4 Hora(s); Estafa
PPL 768; 3008325997; Pedro Sergio Paredes Reyes; 42; 28; 31/09/2001; 31/09/2029; 5; 5(E); E58; Bajo; 4 Hora(s); Otros
PPL 769; 2270831073; Mario Cesar Garcia Sanchez; 50; 30; 03/08/1996; 03/08/2026; 2; 5(E); E59; Bajo; 4 Hora(s); Amenazas
PPL 770; 3735541002; Victor Cesar Cuenca Hidalgo; 34; 16; 23/12/2012; 23/12/2028; 4; 5(E); E60; Bajo; 4 Hora(s); Invasion
PPL 771; 3243859587; Dario Antonio Garcia Sanchez; 31; 10; 13/11/2019; 13/11/2029; 5; 5(E); E61; Bajo; 4 Hora(s); Otros
PPL 772; 2100812154; Gonzalo Cesar Romero Rivera; 31; 18; 30/04/2012; 30/04/2030; 6; 5(E); E62; Bajo; 4 Hora(s); Otros
PPL 773; 2906598983; Pedro Paulo Perero Gomez; 40; 25; 05/07/2012; 05/07/2037; 13; 5(E); E63; Bajo; 4 Hora(s); Invasion
PPL 774; 9149390358; Dario Paulo Cevallos Ramirez; 52; 35; 12/06/1994; 12/06/2029; 5; 5(E); E64; Bajo; 4 Hora(s); Estafa
PPL 775; 7966522894; Dario Paulo Torres Roman; 38; 18; 17/10/2011; 17/10/2029; 5; 5(E); E65; Bajo; 4 Hora(s); Otros
PPL 776; 2152527181; Gonzalo Antonio Cevallos Sanchez; 48; 29; 09/10/1997; 09/10/2026; 2; 5(E); E66; Bajo; 4 Hora(s); Amenazas
PPL 777; 9491576040; Fabian Diego Cevallos Roman; 46; 29; 17/10/2024; 17/10/2053; 29; 5(E); E67; Bajo; 4 Hora(s); Invasion
PPL 778; 8734472660; Pedro Sergio Garcia Rivera; 45; 2; 04/03/2024; 04/03/2026; 2; 5(E); E68; Bajo; 4 Hora(s); Estafa
PPL 779; 3452864057; Pedro Diego Cuenca Sanchez; 39; 21; 06/08/2005; 06/08/2026; 2; 5(E); E69; Bajo; 4 Hora(s); Invasion
PPL 780; 8757910533; Fabian Cesar Perero Gomez; 34; 15; 05/08/2024; 05/08/2039; 15; 5(E); E70; Bajo; 4 Hora(s); Invasion
PPL 781; 4349712782; Roberto Paulo Romero Sanchez; 57; 42; 17/02/1988; 17/02/2030; 6; 5(E); E71; Bajo; 4 Hora(s); Invasion
PPL 782; 9189218986; Carlos Antonio Garcia Sanchez; 61; 44; 02/11/1984; 02/11/2028; 4; 5(E); E72; Bajo; 4 Hora(s); Estafa
PPL 783; 2412530687; Mario Adrian Garcia Rivera; 32; 9; 16/10/2020; 16/10/2029; 5; 5(E); E73; Bajo; 4 Hora(s); Estafa
PPL 784; 1664447461; Michael Cesar Paredes Hidalgo; 60; 46; 28/12/1983; 28/12/2029; 5; 5(E); E74; Bajo; 4 Hora(s); Amenazas
PPL 785; 2981434430; Roberto Adrian Perero Hidalgo; 57; 38; 03/05/1988; 03/05/2026; 2; 5(E); E75; Bajo; 4 Hora(s); Otros
PPL 786; 4819564550; Pedro Diego Paredes Sanchez; 52; 36; 28/02/1994; 28/02/2030; 6; 5(E); E76; Bajo; 4 Hora(s); Otros
PPL 787; 4251743344; Fabian Cesar Paredes Sanchez; 60; 45; 08/06/1983; 08/06/2028; 4; 5(E); E77; Bajo; 4 Hora(s); Amenazas
PPL 788; 5307154076; Dario Antonio Perero Sanchez; 24; 7; 10/01/2019; 10/01/2026; 2; 5(E); E78; Bajo; 4 Hora(s); Amenazas
PPL 789; 7792485400; Victor Antonio Cevallos Gomez; 48; 20; 15/02/2009; 15/02/2029; 5; 5(E); E79; Bajo; 4 Hora(s); Invasion
PPL 790; 9714171803; Mario Cesar Garcia Rivera; 27; 15; 28/09/2018; 28/09/2033; 9; 5(E); E80; Bajo; 4 Hora(s); Invasion
PPL 791; 5053470082; Roberto Angel Cuenca Hidalgo; 55; 42; 01/08/1988; 01/08/2030; 6; 5(E); E81; Bajo; 4 Hora(s); Otros
PPL 792; 9496586133; Mario Julian Garcia Roman; 51; 37; 21/09/1992; 21/09/2029; 5; 5(E); E82; Bajo; 4 Hora(s); Amenazas
PPL 793; 9223437898; Gonzalo Sergio Gonzales Reyes; 60; 43; 28/07/1983; 28/07/2026; 2; 5(E); E83; Bajo; 4 Hora(s); Estafa
PPL 794; 1332846368; Mario Paulo Perero Ramirez; 62; 43; 05/10/1984; 05/10/2027; 3; 5(E); E84; Bajo; 4 Hora(s); Invasion
PPL 795; 1620782051; Roberto Antonio Cuenca Morales; 45; 26; 27/07/2001; 27/07/2027; 3; 5(E); E85; Bajo; 4 Hora(s); Invasion
PPL 796; 7504238618; Roberto Antonio Gonzales Ramirez; 45; 30; 16/07/1999; 16/07/2029; 5; 5(E); E86; Bajo; 4 Hora(s); Amenazas
PPL 797; 9256818501; Roberto Julian Guerrero Roman; 61; 43; 04/12/1983; 04/12/2026; 2; 5(E); E87; Bajo; 4 Hora(s); Amenazas
PPL 798; 7835334066; Fabian Julian Cuenca Reyes; 23; 8; 25/01/2020; 25/01/2028; 4; 5(E); E88; Bajo; 4 Hora(s); Otros
PPL 799; 1723124629; Gonzalo Paulo Romero Ramirez; 35; 16; 25/02/2011; 25/02/2027; 3; 5(E); E89; Bajo; 4 Hora(s); Invasion
PPL 800; 6572148613; Gonzalo Angel Torres Rivera; 41; 24; 30/12/2005; 30/12/2029; 5; 5(E); E90; Bajo; 4 Hora(s); Otros
